timestamp_utc,row_id,rank,system,product,developer,pnl,current_position,nearest_order
2026-04-15T22:56:40.433010+00:00,b4a16812d59fbdc4,1,Position Gan_v.22 _ E-mini Nasdaq NQ,NQ,AutoTradingBot,475.0,Long 1 @ 25215.75,Sell STP 1 @ 26172.25
2026-04-15T22:56:40.433010+00:00,63741ca1cd626891,2,FASSONERIA 3.0,NQ,KORIAL SYSTEMS,475.0,Long 1 @ 26366.50,Sell STP 1 @ 26266.50
2026-04-15T22:56:40.433010+00:00,6b77d2cddd91a74a,3,FASSONERIA 4.0,NQ,KORIAL SYSTEMS,475.0,Long 1 @ 26366.50,Sell STP 1 @ 26266.50
2026-04-15T22:56:40.433010+00:00,3515a5a61463c0d0,4,ALGOsigmaX E-mini S&P ES,ES,Victor Semenchuk,212.5,Long 1 @ 6807.50,Sell STP 1 @ 6972.75
2026-04-15T22:56:40.433010+00:00,b698b9c1badd68c2,5,Ignis E-mini S&P 30',ES,0MG SYST3MS,130.0,Long 1 @ 7062,Sell LMT 1 @ 7071.75
2026-04-15T22:56:40.433010+00:00,9b9110632d8be1d4,6,-,-,-,,-,-
2026-04-15T22:56:40.433010+00:00,9b9110632d8be1d4,7,-,-,-,,-,-
2026-04-15T22:56:40.433010+00:00,9b9110632d8be1d4,8,-,-,-,,-,-
2026-04-15T22:56:40.433010+00:00,9b9110632d8be1d4,9,-,-,-,,-,-
2026-04-15T22:56:40.433010+00:00,9b9110632d8be1d4,10,-,-,-,,-,-
2026-04-15T22:56:59.835065+00:00,b4a16812d59fbdc4,1,Position Gan_v.22 _ E-mini Nasdaq NQ,NQ,AutoTradingBot,455.0,Long 1 @ 25215.75,Sell STP 1 @ 26172.25
2026-04-15T22:56:59.835065+00:00,63741ca1cd626891,2,FASSONERIA 3.0,NQ,KORIAL SYSTEMS,455.0,Long 1 @ 26366.50,Sell STP 1 @ 26266.50
2026-04-15T22:56:59.835065+00:00,6b77d2cddd91a74a,3,FASSONERIA 4.0,NQ,KORIAL SYSTEMS,455.0,Long 1 @ 26366.50,Sell STP 1 @ 26266.50
2026-04-15T22:56:59.835065+00:00,3515a5a61463c0d0,4,ALGOsigmaX E-mini S&P ES,ES,Victor Semenchuk,212.5,Long 1 @ 6807.50,Sell STP 1 @ 6972.75
2026-04-15T22:56:59.835065+00:00,b698b9c1badd68c2,5,Ignis E-mini S&P 30',ES,0MG SYST3MS,130.0,Long 1 @ 7062,Sell LMT 1 @ 7071.75
2026-04-15T22:56:59.835065+00:00,9b9110632d8be1d4,6,-,-,-,,-,-
2026-04-15T22:56:59.835065+00:00,9b9110632d8be1d4,7,-,-,-,,-,-
2026-04-15T22:56:59.835065+00:00,9b9110632d8be1d4,8,-,-,-,,-,-
2026-04-15T22:56:59.835065+00:00,9b9110632d8be1d4,9,-,-,-,,-,-
2026-04-15T22:56:59.835065+00:00,9b9110632d8be1d4,10,-,-,-,,-,-
